iter	Passed	Remaining
440	1187	1504
441	1188	1500
442	1191	1498
443	1194	1495
444	1195	1490
445	1196	1486
446	1197	1481
447	1198	1477
448	1200	1472
449	1201	1468
450	1202	1463
451	1203	1459
452	1207	1458
453	1209	1454
454	1210	1450
455	1211	1445
456	1212	1441
457	1214	1436
458	1215	1432
459	1216	1427
460	1217	1423
461	1220	1421
462	1222	1417
463	1223	1413
464	1225	1409
465	1226	1405
466	1227	1401
467	1228	1396
468	1229	1392
469	1231	1388
470	1232	1383
471	1235	1381
472	1237	1378
473	1238	1374
474	1239	1370
475	1241	1366
476	1242	1362
477	1243	1357
478	1244	1353
479	1245	1349
480	1246	1345
481	1250	1343
482	1252	1341
483	1254	1337
484	1255	1333
485	1256	1329
486	1257	1324
487	1259	1320
488	1260	1317
489	1261	1313
490	1263	1310
491	1265	1306
492	1267	1303
493	1268	1299
494	1269	1295
495	1270	1291
496	1272	1287
497	1273	1283
498	1274	1279
499	1275	1275
500	1276	1271
501	1279	1269
502	1281	1266
503	1282	1262
504	1284	1258
505	1285	1254
506	1286	1250
507	1287	1246
508	1288	1243
509	1289	1239
510	1290	1235
511	1292	1232
512	1296	1230
513	1297	1226
514	1298	1223
515	1299	1219
516	1300	1215
517	1302	1211
518	1303	1207
519	1304	1203
520	1305	1200
521	1307	1197
522	1309	1194
523	1310	1190
524	1311	1186
525	1312	1183
526	1314	1179
527	1315	1175
528	1316	1172
529	1317	1168
530	1318	1164
531	1319	1161
532	1323	1159
533	1325	1156
534	1326	1152
535	1327	1149
536	1328	1145
537	1329	1141
538	1330	1138
539	1332	1134
540	1333	1131
541	1334	1127
542	1336	1125
543	1339	1122
544	1340	1119
545	1341	1115
546	1343	1112
547	1344	1108
548	1345	1105
549	1346	1101
550	1347	1098
551	1349	1094
552	1351	1092
553	1353	1089
554	1355	1086
555	1356	1082
556	1357	1079
557	1358	1075
558	1359	1072
559	1360	1069
560	1361	1065
561	1362	1062
562	1363	1058
563	1367	1056
564	1369	1054
565	1370	1050
566	1371	1047
567	1372	1044
568	1373	1040
569	1375	1037
570	1376	1033
571	1377	1030
572	1378	1027
573	1381	1024
574	1383	1022
575	1384	1019
576	1385	1015
577	1387	1012
578	1388	1009
579	1389	1006
580	1390	1002
581	1391	999
582	1392	996
583	1394	993
584	1397	991
585	1399	988
586	1400	985
587	1401	981
588	1402	978
589	1403	975
590	1404	972
591	1405	968
592	1407	965
593	1408	962
594	1411	960
595	1413	958
596	1414	955
597	1416	951
598	1417	948
599	1418	945
600	1419	942
601	1420	939
602	1421	935
603	1423	933
604	1426	931
605	1428	928
606	1429	925
607	1430	922
608	1432	919
609	1433	916
610	1434	913
611	1435	910
612	1436	907
613	1439	905
614	1441	902
615	1442	899
616	1444	896
617	1445	893
618	1446	890
619	1447	887
620	1448	884
621	1450	881
622	1451	878
623	1454	876
624	1456	873
625	1457	871
626	1459	868
627	1460	865
628	1461	862
629	1462	859
630	1463	856
631	1464	853
632	1466	850
633	1469	848
634	1472	846
635	1473	843
636	1474	840
637	1475	837
638	1476	834
639	1477	831
